customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score
1021-RUNRG,23-07-2020,Organic,23-07-2021,Basic,Monthly,,,6.94,302,45
1022-VKUYA,09-04-2022,Organic,09-04-2023,Standard,Monthly,,,11.36,852,74
1023-XQRCL,25-05-2022,Refferal,25-05-2023,Premium,Monthly,,,20.83,1146,85
1024-CYMGJ,03-04-2024,Organic,03-04-2025,Standard,Annual,,,12.57,879,56
1025-VVPAN,21-06-2022,Organic,21-06-2023,Premium,Monthly,14-04-2023,Not enough content,20.91,528,97
1026-UMVQH,28-08-2019,Organic,28-08-2020,Basic,Monthly,17-02-2020,Forgot to cancel trial,9.8,599,52
1027-AYCTM,23-07-2020,Organic,23-07-2021,Basic,Annual,,,8.19,468,2
1028-PJLHF,19-12-2021,Organic,19-12-2022,Premium,Monthly,27-04-2022,Not enough content,21.78,682,95
1029-PSDWM,27-02-2022,Paid,27-02-2023,Basic,Monthly,,,6.21,586,41
1030-YCFPK,02-10-2023,Refferal,02-10-2024,Standard,Annual,17-02-2024,Not enough content,14.71,904,35
1031-SMAGG,21-04-2023,Organic,21-04-2024,Basic,Monthly,25-10-2023,Forgot to cancel trial,8.2,481,72
1032-GCSSY,22-04-2019,Refferal,22-04-2020,Premium,Monthly,,,20.27,749,52
1033-AUMRX,04-11-2021,Paid,04-11-2022,Premium,Monthly,27-06-2022,Forgot to cancel trial,21.64,649,71
1034-VAWMB,16-12-2022,Paid,16-12-2023,Basic,Annual,,,7.47,372,12
1035-PCZXM,15-04-2022,Refferal,15-04-2023,Standard,Monthly,,,13.24,819,37
1036-GUKYN,25-09-2021,Organic,25-09-2022,Standard,Monthly,24-02-2022,Forgot to cancel trial,14.88,726,99
1037-KHMXK,15-09-2019,Refferal,15-09-2020,Basic,Monthly,,,8.56,102,48
1038-GQKBH,10-11-2024,Organic,10-11-2025,Premium,Annual,30-01-2025,Poor streaming quality,20.93,1162,55
1039-AHBJL,05-10-2022,Organic,05-10-2023,Basic,Annual,,,7.57,611,48
1040-GPBYZ,19-07-2020,Paid,19-07-2021,Standard,Monthly,08-03-2021,Not enough content,11.42,609,85
1041-UZXTV,21-02-2024,Organic,21-02-2025,Standard,Monthly,,,15.73,1134,35
1042-HTEDN,03-08-2019,Refferal,03-08-2020,Basic,Annual,,,5.99,960,55
1043-VJUAN,20-01-2022,Refferal,20-01-2023,Premium,Monthly,23-03-2022,Poor streaming quality,18.81,1113,48
1044-KDYHM,24-12-2023,Organic,24-12-2024,Basic,Monthly,,,6.88,500,14
1045-AJLYW,22-02-2022,Refferal,22-02-2023,Basic,Annual,10-09-2022,Too expensive,5.99,402,52
1046-EVPQV,22-02-2020,Organic,22-02-2021,Premium,Monthly,,,24.4,1039,43
1047-TMUNC,22-07-2022,Organic,22-07-2023,Basic,Annual,,,9.78,582,13
1048-DQQTK,14-04-2022,Organic,14-04-2023,Basic,Monthly,18-12-2022,Not enough content,10.87,713,13
1049-DYBVC,28-06-2022,Refferal,28-06-2023,Standard,Annual,,,14.56,719,65
1050-JPFRF,20-10-2023,Paid,20-10-2024,Standard,Monthly,,,11.08,750,71
1051-EDRBT,24-05-2021,Paid,24-05-2022,Basic,Annual,,,8.54,346,52
1052-BBLLQ,19-11-2024,Organic,19-11-2025,Standard,Annual,,,14.5,650,54
1053-HATEK,28-02-2022,Organic,28-02-2023,Basic,Monthly,,,12.09,372,60
1054-ZEYMS,24-05-2022,Organic,24-05-2023,Basic,Monthly,,,9.43,615,27
1055-XJTVV,15-08-2024,Organic,15-08-2025,Premium,Annual,,,23.54,1225,35
1056-QWRDB,02-01-2022,Paid,02-01-2023,Standard,Monthly,,,14.9,905,77
1057-KPYTA,17-02-2024,Paid,17-02-2025,Standard,Monthly,,,13.45,553,41
1058-JYKUS,20-11-2024,Paid,20-11-2025,Premium,Monthly,17-06-2025,Not enough content,19.2,1207,63
1059-KQYHK,10-06-2019,Refferal,10-06-2020,Basic,Monthly,,,8.6,490,69
1060-BWCUW,26-10-2024,Organic,26-10-2025,Premium,Annual,,,24.19,1675,47
1061-QUUFF,26-04-2020,Organic,26-04-2021,Standard,Annual,,,15.37,509,28
1062-TNCCD,13-01-2022,Refferal,13-01-2023,Standard,Monthly,,,15.05,667,50
1063-WRUDG,27-04-2021,Paid,27-04-2022,Basic,Annual,,,9.03,493,43
1064-CFRQB,12-10-2019,Paid,12-10-2020,Basic,Monthly,13-05-2020,Switched to competitor,5.99,715,42
1065-UNAWB,21-11-2024,Paid,21-11-2025,Basic,Annual,19-06-2025,Forgot to cancel trial,8.46,544,16
1066-VSZME,10-06-2019,Paid,10-06-2020,Standard,Annual,,,14.84,886,30
1067-JUWHC,09-09-2021,Organic,09-09-2022,Premium,Annual,,,21.12,1202,27
1068-HBRHQ,03-01-2024,Paid,03-01-2025,Standard,Monthly,,,15.22,791,83
1069-ADLJL,06-12-2019,Paid,06-12-2020,Standard,Monthly,17-05-2020,Poor streaming quality,10.96,628,37
1070-SZEDB,23-03-2021,Organic,23-03-2022,Standard,Annual,,,15.12,1322,59
1071-VFMJP,03-10-2022,Organic,03-10-2023,Basic,Monthly,,,9.25,754,76
1072-NHDYF,06-11-2023,Organic,06-11-2024,Standard,Annual,,,15.42,1085,40
1073-YAWBY,16-05-2024,Organic,16-05-2025,Basic,Annual,,,6.29,437,36
1074-KMJDW,04-08-2020,Organic,04-08-2021,Basic,Monthly,18-03-2021,Forgot to cancel trial,8.17,189,99
1075-XVYTE,15-09-2022,Organic,15-09-2023,Premium,Monthly,25-06-2023,Forgot to cancel trial,22.5,1148,24
1076-MNWLX,03-05-2023,Paid,03-05-2024,Standard,Monthly,,,16.39,658,60
1077-DCJZP,11-12-2020,Organic,11-12-2021,Premium,Monthly,,,19.42,541,77
1078-HKQWQ,21-12-2024,Refferal,21-12-2025,Basic,Monthly,,,8.47,507,51
1079-TQERQ,14-06-2022,Organic,14-06-2023,Basic,Annual,,,12.71,477,56
1080-TBDEH,22-12-2024,Paid,22-12-2025,Standard,Annual,27-05-2025,Not enough content,14.4,911,35
1081-ZHGES,25-06-2022,Organic,25-06-2023,Premium,Monthly,,,19.25,880,59
1082-GMENY,14-02-2019,Paid,14-02-2020,Basic,Monthly,22-12-2019,Too expensive,9.89,509,25
1083-XMEZH,27-01-2020,Refferal,27-01-2021,Standard,Monthly,,,12.95,1172,40
1084-APCZG,21-08-2024,Paid,21-08-2025,Basic,Monthly,,,8.88,750,23
1085-EWXVN,08-07-2021,Organic,08-07-2022,Standard,Monthly,,,18.66,627,79
1086-JFSMD,15-03-2022,Organic,15-03-2023,Standard,Annual,,,12.92,549,77
1087-RFFUW,05-09-2023,Organic,05-09-2024,Basic,Annual,,,8.97,461,59
1088-XLBDK,19-04-2024,Paid,19-04-2025,Basic,Monthly,,,7.86,248,2
1089-ZMGED,28-11-2024,Organic,28-11-2025,Standard,Annual,,,13.43,1012,19
1090-TFAAH,25-12-2020,Organic,25-12-2021,Basic,Annual,,,5.99,572,31
1091-SWFBL,05-05-2020,Organic,05-05-2021,Premium,Monthly,,,24.16,1275,28
1092-TESPB,25-03-2022,Organic,25-03-2023,Standard,Monthly,,,14.01,654,33
1093-BKKNK,13-05-2019,Refferal,13-05-2020,Standard,Annual,07-04-2020,Forgot to cancel trial,14.43,623,34
1094-EXPUK,11-06-2020,Organic,11-06-2021,Standard,Monthly,21-11-2020,Forgot to cancel trial,13.14,985,58
1095-LDHKW,26-12-2020,Paid,26-12-2021,Standard,Monthly,29-10-2021,Switched to competitor,17.48,1221,30
1096-BVBAD,22-11-2023,Paid,22-11-2024,Premium,Annual,19-09-2024,Forgot to cancel trial,16.7,862,53
1097-YNFQG,27-11-2021,Refferal,27-11-2022,Premium,Annual,,,21.61,647,39
1098-PBAEM,03-01-2021,Paid,03-01-2022,Standard,Monthly,,,12.91,716,45
1099-AEDVV,05-12-2022,Organic,05-12-2023,Premium,Annual,,,21.78,1015,38
1100-FBQQQ,19-11-2020,Paid,19-11-2021,Standard,Monthly,,,14.67,947,77
1101-JCYLU,03-01-2019,Paid,03-01-2020,Standard,Monthly,,,12.17,758,46
1102-KCXXZ,09-07-2020,Organic,09-07-2021,Standard,Monthly,12-12-2020,Poor streaming quality,15.33,824,55
1103-WKWLL,23-12-2021,Paid,23-12-2022,Standard,Annual,,,16.8,792,37
1104-JYEZE,05-08-2024,Paid,05-08-2025,Standard,Monthly,,,13.55,1022,53
1105-ZMKNY,22-11-2020,Organic,22-11-2021,Standard,Annual,,,15.81,1093,66
1106-UZLAG,04-08-2019,Organic,04-08-2020,Basic,Annual,,,8.04,541,57
1107-JUNJC,24-03-2024,Organic,24-03-2025,Basic,Monthly,,,8.7,698,47
1108-KERLA,19-02-2024,Organic,19-02-2025,Basic,Annual,,,9.3,944,23
1109-WNRQQ,08-02-2021,Paid,08-02-2022,Basic,Monthly,,,5.99,673,25
1110-KERSR,16-01-2021,Refferal,16-01-2022,Basic,Annual,,,9.73,704,56
1111-KWMBA,04-09-2023,Paid,04-09-2024,Standard,Monthly,,,13.96,750,38
1112-ULFLT,07-04-2019,Organic,07-04-2020,Premium,Annual,,,19.5,936,76
1113-JGNHS,28-05-2019,Organic,28-05-2020,Standard,Annual,08-12-2019,Too expensive,12.17,835,40
1114-MPGKL,28-01-2023,Paid,28-01-2024,Premium,Annual,,,19.75,1034,38
1115-BNFLF,02-01-2024,Organic,02-01-2025,Basic,Annual,21-04-2024,Poor streaming quality,8.53,460,30
1116-LZXXH,24-05-2024,Paid,24-05-2025,Standard,Monthly,,,14.5,265,25
1117-DFSAS,12-06-2019,Paid,12-06-2020,Premium,Monthly,,,19.41,725,60
1118-DNARL,13-12-2023,Paid,13-12-2024,Standard,Monthly,24-02-2024,Too expensive,17.24,816,78
1119-QUSWR,13-08-2020,Paid,13-08-2021,Basic,Monthly,,,7.95,649,29
1120-YDWPJ,02-01-2020,Organic,02-01-2021,Premium,Monthly,,,20.35,925,69
1121-KRNDC,24-07-2024,Organic,24-07-2025,Premium,Monthly,,,22.13,689,97
1122-BRREA,25-12-2020,Organic,25-12-2021,Premium,Annual,,,21.87,776,69
1123-NGZRM,17-12-2020,Organic,17-12-2021,Basic,Annual,21-07-2021,Poor streaming quality,8.48,679,42
1124-SBFNB,10-04-2021,Paid,10-04-2022,Standard,Monthly,,,12.29,792,59
1125-UEXUF,28-07-2024,Organic,28-07-2025,Standard,Monthly,,,17.18,1162,78
1126-ZDGBF,19-10-2019,Organic,19-10-2020,Basic,Annual,27-04-2020,Poor streaming quality,6.3,560,62
1127-HGBEU,10-08-2020,Organic,10-08-2021,Standard,Annual,,,18.81,603,29
1128-QFWDT,24-09-2022,Organic,24-09-2023,Standard,Monthly,,,12.67,442,7
1129-UFEKS,04-06-2019,Organic,04-06-2020,Basic,Monthly,,,6.32,612,53
1130-ASEFE,18-07-2022,Organic,18-07-2023,Standard,Monthly,13-05-2023,Too expensive,18.12,811,77
1131-VZUJP,08-10-2021,Organic,08-10-2022,Basic,Annual,,,6.01,238,53
1132-QFDFF,26-06-2023,Paid,26-06-2024,Standard,Monthly,,,18.02,676,86
1133-DYWVZ,01-08-2023,Paid,01-08-2024,Basic,Annual,29-11-2023,Not enough content,5.99,380,76
1134-CHDDY,23-12-2021,Organic,23-12-2022,Basic,Monthly,,,10.71,537,13
1135-UPEHV,21-03-2021,Paid,21-03-2022,Premium,Monthly,,,21,1093,66
1136-GFBGC,04-07-2023,Paid,04-07-2024,Premium,Annual,,,22.36,761,32
1137-VAAGC,16-10-2023,Paid,16-10-2024,Standard,Monthly,,,14.25,827,70
1138-YNRHC,27-05-2019,Organic,27-05-2020,Standard,Annual,21-09-2019,Not enough content,11.52,1040,12
1139-CUMXG,09-08-2022,Organic,09-08-2023,Basic,Monthly,,,8.72,885,32
1140-JNZQP,13-02-2021,Paid,13-02-2022,Premium,Annual,,,21.24,1141,84
1141-QCUEZ,11-05-2023,Organic,11-05-2024,Premium,Annual,30-12-2023,Forgot to cancel trial,25.52,888,94
1142-NLKDQ,21-07-2021,Organic,21-07-2022,Standard,Annual,01-11-2021,Forgot to cancel trial,16.13,1083,62
1143-AXHFT,24-05-2020,Organic,24-05-2021,Standard,Annual,,,11.87,898,63
1144-FVTUW,01-10-2023,Organic,01-10-2024,Basic,Annual,16-11-2023,Poor streaming quality,5.99,40,14
1145-EJMKY,24-05-2020,Organic,24-05-2021,Premium,Monthly,11-04-2021,Too expensive,20.4,1401,78
1146-SGKAU,23-05-2023,Organic,23-05-2024,Premium,Annual,17-12-2023,Poor streaming quality,21.15,529,91
1147-SVKCN,21-05-2021,Paid,21-05-2022,Basic,Monthly,,,5.99,576,51
1148-NFBWV,24-07-2022,Paid,24-07-2023,Basic,Annual,,,7.92,575,2
1149-NUXSN,08-02-2024,Organic,08-02-2025,Standard,Annual,,,11.12,643,63
1150-HWMWQ,28-01-2022,Organic,28-01-2023,Premium,Monthly,,,18.92,716,50
1151-LHTUM,05-02-2022,Organic,05-02-2023,Standard,Annual,,,13.85,490,69
1152-ESRFS,10-05-2019,Paid,10-05-2020,Standard,Monthly,,,15.1,695,46
1153-ZMUDX,23-06-2019,Refferal,23-06-2020,Standard,Monthly,,,13.75,627,32
1154-CNQSL,25-04-2023,Organic,25-04-2024,Basic,Monthly,,,5.99,449,95
1155-FACCP,09-05-2022,Organic,09-05-2023,Standard,Monthly,03-11-2022,Not enough content,12.45,766,60
1156-TCUBW,13-02-2020,Refferal,13-02-2021,Standard,Monthly,,,13.5,833,70
1157-XEDTZ,01-10-2021,Paid,01-10-2022,Premium,Annual,,,19.82,835,43
1158-XLBRA,21-11-2024,Paid,21-11-2025,Standard,Annual,,,8.93,695,16
1159-DWWWB,15-02-2020,Organic,15-02-2021,Standard,Monthly,,,17.61,835,50
1160-TAKAP,27-01-2021,Paid,27-01-2022,Basic,Monthly,,,8.67,755,99
1161-TCUFJ,20-05-2019,Refferal,20-05-2020,Basic,Monthly,24-09-2019,Not enough content,7.71,151,28
1162-YWQUL,06-10-2024,Organic,06-10-2025,Standard,Monthly,,,14.44,643,38
1163-KZXUG,28-09-2024,Paid,28-09-2025,Basic,Annual,,,6.57,744,20
1164-SYDTZ,27-12-2024,Organic,27-12-2025,Standard,Annual,21-03-2025,Switched to competitor,15.93,987,47
1165-SDBUE,26-09-2020,Paid,26-09-2021,Premium,Annual,09-05-2021,Poor streaming quality,21.16,1156,37
1166-SZBTE,06-08-2021,Refferal,06-08-2022,Premium,Monthly,,,22.18,678,38
1167-AMYAY,17-06-2024,Organic,17-06-2025,Basic,Monthly,,,6.06,633,18
1168-CFFHJ,20-10-2024,Refferal,20-10-2025,Basic,Monthly,,,12.19,875,17
1169-GTANU,01-09-2023,Paid,01-09-2024,Standard,Monthly,05-05-2024,Switched to competitor,12.56,459,47
1170-XTLVB,03-09-2021,Organic,03-09-2022,Standard,Monthly,,,12.09,560,57
1171-ASNRQ,13-07-2022,Organic,13-07-2023,Premium,Monthly,28-02-2023,Forgot to cancel trial,21.59,772,60
1172-HXZWR,24-04-2021,Organic,24-04-2022,Standard,Annual,,,11.99,922,34
1173-EQGCS,19-12-2020,Organic,19-12-2021,Standard,Monthly,,,15.09,590,33
1174-XHLQH,24-12-2020,Organic,24-12-2021,Standard,Monthly,,,15.64,788,17
1175-LUMCR,21-09-2019,Organic,21-09-2020,Basic,Annual,,,6.53,438,55
1176-PZMUJ,17-06-2022,Refferal,17-06-2023,Basic,Monthly,,,5.99,521,12
1177-DDPPW,08-06-2021,Refferal,08-06-2022,Basic,Monthly,,,8.56,664,29
1178-BZHSN,13-05-2023,Organic,13-05-2024,Premium,Monthly,,,17.33,521,60
1179-XAXLF,04-12-2021,Organic,04-12-2022,Standard,Monthly,01-08-2022,Switched to competitor,12.56,425,57
1180-DDYNK,20-07-2020,Paid,20-07-2021,Basic,Annual,,,7.14,413,68
1181-SYQBK,20-08-2020,Paid,20-08-2021,Standard,Annual,,,15.83,677,25
1182-XNAYS,19-06-2022,Refferal,19-06-2023,Premium,Annual,,,24.16,827,2
1183-UXCQP,07-11-2022,Organic,07-11-2023,Standard,Monthly,02-10-2023,Not enough content,15.26,715,51
1184-PQZKE,28-03-2024,Organic,28-03-2025,Premium,Monthly,,,19.66,1127,63
1185-NUVQS,09-02-2019,Organic,09-02-2020,Basic,Monthly,,,10.56,831,55
1186-NTQYV,22-03-2023,Organic,22-03-2024,Basic,Monthly,09-09-2023,Poor streaming quality,7.08,403,38
1187-QNTBC,19-07-2022,Paid,19-07-2023,Basic,Monthly,,,8.86,619,43
1188-CNGNV,16-01-2023,Paid,16-01-2024,Basic,Monthly,,,12.56,685,73
1189-HYNAV,19-04-2021,Paid,19-04-2022,Basic,Annual,,,10.63,252,35
1190-TWEEF,20-06-2022,Refferal,20-06-2023,Basic,Annual,,,5.99,376,2
1191-UNKUD,17-12-2019,Organic,17-12-2020,Standard,Annual,08-11-2020,Switched to competitor,14.03,706,86
1192-GPFMQ,06-08-2021,Paid,06-08-2022,Standard,Annual,,,13.51,397,70
1193-PWEVT,09-05-2022,Organic,09-05-2023,Standard,Monthly,,,14.51,278,73
1194-MRLJJ,11-06-2021,Paid,11-06-2022,Standard,Monthly,,,16.51,662,66
1195-RDEVJ,13-11-2023,Refferal,13-11-2024,Basic,Monthly,08-10-2024,Forgot to cancel trial,9.38,745,99
1196-EATRY,25-09-2022,Paid,25-09-2023,Premium,Monthly,12-05-2023,Not enough content,21.54,618,54
1197-LDNEA,06-09-2024,Paid,06-09-2025,Standard,Monthly,,,15.82,757,39
1198-NXMFC,16-05-2021,Paid,16-05-2022,Standard,Annual,,,12.94,670,62
1199-VQVPE,17-04-2024,Paid,17-04-2025,Premium,Annual,,,23.27,799,45
1200-VKWEG,06-01-2023,Organic,06-01-2024,Premium,Monthly,,,18.84,655,51
1201-AFLUM,18-02-2022,Refferal,18-02-2023,Standard,Monthly,,,15.66,1081,34
1202-UFULT,11-05-2024,Paid,11-05-2025,Basic,Annual,,,10.97,843,54
1203-HJBSZ,19-01-2019,Paid,19-01-2020,Premium,Monthly,,,19.29,321,36
1204-CQYZR,25-11-2023,Paid,25-11-2024,Basic,Annual,05-07-2024,Not enough content,11.28,704,60
1205-ASPPM,15-03-2023,Organic,15-03-2024,Basic,Monthly,29-12-2023,Poor streaming quality,8.61,1059,24
1206-QJQHB,11-11-2022,Organic,11-11-2023,Basic,Monthly,,,8.27,587,52
1207-EMCPW,16-11-2020,Organic,16-11-2021,Premium,Annual,,,22.05,727,59
1208-XVVBQ,07-07-2023,Paid,07-07-2024,Basic,Annual,,,9.03,829,88
1209-TUPSS,15-10-2023,Paid,15-10-2024,Premium,Annual,,,24.5,1110,45
1210-RVHFP,10-01-2024,Refferal,10-01-2025,Standard,Monthly,11-07-2024,Too expensive,13.71,791,57
1211-UYVYN,26-05-2020,Paid,26-05-2021,Basic,Monthly,03-08-2020,Not enough content,5.99,504,88
1212-BBUJV,17-05-2019,Organic,17-05-2020,Basic,Monthly,,,7.05,155,26
1213-UDJMT,16-04-2023,Paid,16-04-2024,Standard,Monthly,,,15.8,553,60
1214-GLSPC,20-06-2020,Paid,20-06-2021,Premium,Annual,,,18.14,1375,49
1215-SDTCT,11-01-2022,Organic,11-01-2023,Basic,Monthly,,,7.42,425,15
1216-TDSAP,01-11-2022,Paid,01-11-2023,Basic,Annual,,,7.39,481,2
1217-HXKZN,01-12-2023,Organic,01-12-2024,Basic,Annual,,,7.48,912,58
1218-XVAPG,19-04-2022,Refferal,19-04-2023,Basic,Annual,,,10.47,428,35
1219-DNVWH,24-09-2023,Refferal,24-09-2024,Basic,Monthly,,,13.65,821,51
1220-KKLYX,08-04-2023,Paid,08-04-2024,Standard,Monthly,,,13.94,693,63
1221-TJWMD,15-03-2019,Organic,15-03-2020,Premium,Monthly,,,19.73,736,49
1222-BTKHQ,18-01-2024,Refferal,18-01-2025,Standard,Annual,29-09-2024,Poor streaming quality,12.79,850,31
1223-GDHYS,18-12-2023,Organic,18-12-2024,Basic,Monthly,14-11-2024,Too expensive,7.43,131,84
1224-TCSRC,28-10-2021,Refferal,28-10-2022,Standard,Monthly,23-12-2021,Poor streaming quality,16.39,324,84
1225-ZGEXZ,08-08-2023,Organic,08-08-2024,Basic,Annual,,,7.24,286,33
1226-PQHCC,11-05-2019,Organic,11-05-2020,Standard,Monthly,,,12.28,1002,30
1227-DSGNN,09-06-2023,Organic,09-06-2024,Standard,Annual,22-04-2024,Poor streaming quality,16.05,921,77
1228-MEQTZ,12-06-2019,Organic,12-06-2020,Standard,Annual,03-12-2019,Not enough content,11.51,834,35
1229-NHASJ,21-03-2022,Refferal,21-03-2023,Standard,Annual,,,11.3,702,64
1230-BNPSP,21-07-2021,Paid,21-07-2022,Standard,Monthly,18-10-2021,Not enough content,13.17,856,75
1231-LYFHC,16-06-2020,Paid,16-06-2021,Standard,Monthly,04-09-2020,Forgot to cancel trial,13.2,571,85
1232-WWHXC,18-05-2021,Organic,18-05-2022,Basic,Monthly,04-11-2021,Switched to competitor,9.35,389,63
1233-NEJHD,01-03-2019,Organic,01-03-2020,Standard,Annual,04-11-2019,Poor streaming quality,14.71,766,19
1234-QWSQH,22-05-2022,Organic,22-05-2023,Standard,Annual,,,13.58,751,35
1235-GJEYH,25-05-2020,Paid,25-05-2021,Basic,Monthly,,,6.44,254,20
1236-PBHMQ,14-10-2024,Paid,14-10-2025,Premium,Monthly,,,22.32,1109,35
1237-BYPMQ,25-10-2024,Paid,25-10-2025,Premium,Monthly,15-03-2025,Too expensive,16.41,1021,99
1238-RADDN,12-12-2022,Paid,12-12-2023,Premium,Annual,,,20.78,1212,44
1239-BXZAP,13-07-2024,Paid,13-07-2025,Standard,Monthly,,,13.91,608,84
1240-YWDZS,21-03-2019,Refferal,21-03-2020,Premium,Annual,,,21.32,1205,45
1241-LLVKF,12-10-2023,Paid,12-10-2024,Basic,Monthly,,,8.67,338,13
1242-BTNWU,18-11-2024,Organic,18-11-2025,Premium,Monthly,23-12-2024,Poor streaming quality,22.63,915,65
1243-PHJZH,19-08-2024,Refferal,19-08-2025,Basic,Monthly,,,8.03,474,57
1244-BNWGD,12-08-2024,Paid,12-08-2025,Premium,Monthly,,,19.28,875,69
1245-JCDYD,09-11-2019,Organic,09-11-2020,Premium,Monthly,,,21.89,1012,22
1246-UNKSM,02-11-2023,Organic,02-11-2024,Basic,Monthly,,,9.03,778,55
1247-GGVGQ,27-01-2024,Paid,27-01-2025,Basic,Monthly,,,11.65,266,76
1248-GAQBQ,19-11-2024,Organic,19-11-2025,Premium,Monthly,18-05-2025,Poor streaming quality,18.17,937,47
1249-DBUKH,06-07-2023,Paid,06-07-2024,Standard,Monthly,,,15.13,839,42
1250-LGABT,23-03-2021,Organic,23-03-2022,Basic,Monthly,,,6.33,288,35
1251-KTVBF,03-11-2024,Organic,03-11-2025,Standard,Annual,,,11.96,577,16
1252-EPZRH,01-04-2019,Paid,01-04-2020,Standard,Annual,01-02-2020,Not enough content,16.31,1263,29
1253-VZAJJ,24-01-2019,Organic,24-01-2020,Basic,Annual,,,9.08,294,46
1254-DEBHV,11-07-2020,Paid,11-07-2021,Premium,Annual,,,22.53,1319,43
1255-DWVUQ,02-10-2020,Paid,02-10-2021,Basic,Annual,,,13.62,776,42
1256-BAYSQ,14-08-2023,Paid,14-08-2024,Basic,Monthly,,,6.44,854,52
1257-CVHLP,22-11-2022,Organic,22-11-2023,Basic,Monthly,21-08-2023,Poor streaming quality,6.61,562,91
